normalize,False
complete_episodes,8000
num_episodes,8000
wall_bonus,-0.0625
num_steps,160
door_bonus,0
source,
success_count,1542
complete_steps,224548
success_bonus,9.0
world_name,wall_exit
time_bonus,-0.00625
train_dur,67758.2946439
