normalize,False
complete_episodes,15000
num_episodes,15000
wall_bonus,-0.0625
num_steps,160
door_bonus,0
source,
success_count,4726
complete_steps,389123
success_bonus,9.0
world_name,wall_exit
time_bonus,-0.00625
train_dur,118262.577438
