normalize,False
complete_episodes,15000
num_episodes,15000
wall_bonus,-0.0625
num_steps,160
door_bonus,0
source,2019-12-29-19-43
success_count,4120
complete_steps,569077
success_bonus,9.0
time_bonus,-0.00625
train_dur,50522.5168059
