normalize,False
complete_episodes,5000
num_episodes,5000
wall_bonus,-0.1
num_steps,100
door_bonus,0
source,2020-01-08-19-12
success_count,1665
complete_steps,171132
success_bonus,3.0
world_name,wall_exit
time_bonus,-0.01
train_dur,21460.784744
