normalize,False
complete_episodes,14000
num_episodes,14000
wall_bonus,-0.0625
num_steps,160
door_bonus,0
source,2020-01-13-13-16
success_count,4996
complete_steps,361398
success_bonus,9.0
world_name,wall_exit
time_bonus,-0.00625
train_dur,9814.07061911
