normalize,False
complete_episodes,10000
num_episodes,10000
wall_bonus,-0.1
num_steps,100
door_bonus,0
source,2020-01-09-19-28
success_count,5789
complete_steps,323861
success_bonus,3.0
world_name,wall_exit
time_bonus,-0.01
train_dur,18211.3112299
