normalize,False
complete_episodes,10000
num_episodes,10000
wall_bonus,-0.0625
num_steps,160
door_bonus,0
source,
success_count,1208
complete_steps,397923
success_bonus,9.0
time_bonus,-0.00625
train_dur,117758.692449
