normalize,False
complete_episodes,6000
num_episodes,6000
wall_bonus,-0.0625
num_steps,160
door_bonus,0
source,
success_count,835
complete_steps,166605
success_bonus,9.0
world_name,wall_exit
time_bonus,-0.00625
train_dur,48160.3015609
