normalize,False
complete_episodes,10000
num_episodes,10000
wall_bonus,-0.0625
num_steps,160
door_bonus,0
source,
success_count,417
complete_steps,214014
success_bonus,9.0
world_name,wall_exit
time_bonus,-0.00625
train_dur,61972.073509
