actionspace_dim,2
num_episodes,400
statespace_dim,7
learning_rate,1e-05
num_steps,1000
door_bonus,False
hidden_sizes,64
version,2019-03-03
success_count,0
training_time,13667.2880402
wall_bonus,True
distance_bonus,True
