normalize,False
complete_episodes,8001
num_episodes,8000
wall_bonus,-0.0625
num_steps,160
door_bonus,0
source,
success_count,589
complete_steps,274922
success_bonus,9.0
time_bonus,-0.00625
train_dur,81283.901021
