normalize,False
complete_episodes,5000
num_episodes,5000
wall_bonus,-0.0625
num_steps,160
door_bonus,0
source,
success_count,1086
complete_steps,388227
success_bonus,9.0
world_name,wall_exit
time_bonus,-0.00625
train_dur,113071.935588
